🚀 Starting server on port 8028
Listening on http://0.0.0.0:8028/ (http://localhost:8028/)
97
parse block 292701831,cost:85 ms
parse block 292680481,cost:81 ms
parse block 292680480,cost:52 ms
parse block 292680479,cost:42 ms
parse block 292680478,cost:32 ms
parse block 292680477,cost:27 ms
parse block 292680476,cost:43 ms
parse block 292680475,cost:29 ms
parse block 292680474,cost:10 ms
parse block 292680473,cost:29 ms
parse block 292680472,cost:44 ms
parse block 292680471,cost:30 ms
parse block 292680470,cost:41 ms
parse block 292680469,cost:48 ms
parse block 292680468,cost:74 ms
parse block 292680467,cost:32 ms
parse block 292680466,cost:57 ms
parse block 292680465,cost:52 ms
parse block 292680464,cost:91 ms
parse block 292680459,cost:0 ms
parse block 292680458,cost:16 ms
parse block 292680457,cost:20 ms
parse block 292680456,cost:11 ms
parse block 292680455,cost:45 ms
parse block 292680454,cost:38 ms
parse block 292680453,cost:51 ms
parse block 292680452,cost:81 ms
parse block 292680451,cost:37 ms
parse block 292680450,cost:21 ms
parse block 292680449,cost:48 ms
parse block 292680448,cost:37 ms
parse block 292680447,cost:29 ms
parse block 292680446,cost:55 ms
parse block 292680445,cost:41 ms
parse block 292680443,cost:43 ms
parse block 292680442,cost:31 ms
parse block 292680441,cost:82 ms
parse block 292680440,cost:39 ms
parse block 292680439,cost:37 ms
parse block 292680438,cost:26 ms
parse block 292680437,cost:36 ms
parse block 292680436,cost:11 ms
parse block 292680435,cost:32 ms
parse block 292680434,cost:31 ms
parse block 292680433,cost:31 ms
Invalid tokenAmount: 0, skipping transaction 5h34MhjQTKYNLd6X1HR6W8emRSiCX3Jk2JFNdZjvBD8EWjx4PPfc3Z5KvdBDU3dsUPxUPvhwxBh3KQh4NbQt8oJB
Invalid quoteAmount: 0, skipping transaction vKtoyX2ocdtVhj1kHEPY5uofwzxV3tgV491mQc3efJEu6gSJqtsbzi1aFfc1ywXZkYSxPT5tUByjDKTPK76sSzt
Invalid quoteAmount: 0, skipping transaction 3MSBsYGDySHfdfUogcctpbsTgBbc8HEMnA42VxPMKBYxggVVWtjLbvSwEzhrgMC7yvPmrjebMvfoVLy249Uv7yjA
quoteSymbol not support 4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R, skipping transaction 2mmm4L95CTRPRE4H2inHfCxYsqmAsPtu7zWeJaa6UajDJTTmJMxQNs9KarZqSg7peAZeomtc1y1cndUtmVNgm2sY
Invalid tokenAmount: 0, skipping transaction 3wtesWSnGUhBvfr8xXJyjEGu4xkobBHEmhjLn8VXP6HSXLor5SmCzKT8HUi3Aqd4Kj4z3LMRbPKmU6NkzP76vUg8
quoteSymbol not support WENWENvqqNya429ubCdR81ZmD69brwQaaBYY6p3LCpk, skipping transaction 4FY7ZgermEMvoeKVoFikG9MFprLCrJs5rrXW49arTuQANugxeh3ptMgoQ3Hg5522PCuwTh1w374xVsjunvAKWhFy
quoteSymbol not support ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY, skipping transaction 2k5z1K3pu1z13sJi4apQM9ekJbfBbbqUAFZmMu3wooafEcFgALjdogt831dsAHVrVx2tUymwxtpiMXXvc1u4EZBB
Invalid tokenAmount: 0, skipping transaction 2SFfoc89p1hriBegM8m9Wu7ne77H4vAXkzYtc4LehZCk9Seb8b4Z7Ffxnm2u9wkgdXecrz3CcMtaXZhyrgkyYLDd
Invalid tokenAmount: 0, skipping transaction 2bS7NQNjAoWSgQdGC6R7XfokzeEXdKcSj6CkDPiTU6K1SoMsn5SKnhoAUY9KmLsAMw3FEVLVgg4tCh9Qco3KxF5k
quoteSymbol not support DUp2qMMGuACziKeyZRtH9cuKyqtYpqJ24iZg6tVLpump, skipping transaction 38fBxnHyCZkH74eyoRftMcWqjq8HB3D7zyuSBwvgJMzCXF2Ziu4wfUmUifWM2KgmyVscHVtn4DrD5s3GP55F86kX
✅ 插入 6910 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 95 blocks, cost: 4095 ms
[Port 8028] server total use, cost: 4109 ms
72
parse block 292679332,cost:64 ms
parse block 292679331,cost:40 ms
parse block 292679330,cost:37 ms
parse block 292679329,cost:50 ms
parse block 292679328,cost:53 ms
parse block 292679327,cost:25 ms
parse block 292679326,cost:44 ms
parse block 292679325,cost:51 ms
parse block 292679324,cost:77 ms
parse block 292679323,cost:14 ms
parse block 292679322,cost:27 ms
parse block 292679321,cost:122 ms
parse block 292679320,cost:30 ms
parse block 292679319,cost:16 ms
parse block 292679318,cost:0 ms
parse block 292679317,cost:5 ms
parse block 292679316,cost:10 ms
parse block 292679311,cost:63 ms
parse block 292679310,cost:55 ms
parse block 292679309,cost:52 ms
parse block 292679308,cost:82 ms
parse block 292679299,cost:18 ms
parse block 292679298,cost:31 ms
parse block 292679297,cost:29 ms
parse block 292679296,cost:81 ms
parse block 292679291,cost:0 ms
parse block 292679290,cost:1 ms
parse block 292679289,cost:28 ms
parse block 292679288,cost:20 ms
parse block 292679287,cost:48 ms
parse block 292679286,cost:36 ms
parse block 292679285,cost:56 ms
parse block 292679284,cost:68 ms
parse block 292679283,cost:30 ms
parse block 292679282,cost:43 ms
parse block 292679281,cost:57 ms
parse block 292679280,cost:34 ms
parse block 292679279,cost:33 ms
parse block 292679278,cost:33 ms
parse block 292679277,cost:99 ms
parse block 292679276,cost:69 ms
parse block 292679271,cost:19 ms
parse block 292679270,cost:65 ms
parse block 292679269,cost:34 ms
parse block 292679268,cost:27 ms
parse block 292679267,cost:48 ms
parse block 292679266,cost:29 ms
parse block 292679265,cost:59 ms
parse block 292679264,cost:26 ms
parse block 292679263,cost:46 ms
parse block 292679262,cost:45 ms
parse block 292679261,cost:35 ms
parse block 292679260,cost:77 ms
parse block 292679255,cost:19 ms
parse block 292679254,cost:50 ms
parse block 292679253,cost:80 ms
parse block 292679252,cost:53 ms
parse block 292679247,cost:19 ms
parse block 292679246,cost:14 ms
parse block 292679245,cost:20 ms
parse block 292679244,cost:45 ms
parse block 292679243,cost:16 ms
parse block 292679242,cost:14 ms
parse block 292679241,cost:15 ms
parse block 292679240,cost:54 ms
parse block 292679239,cost:40 ms
parse block 292679238,cost:30 ms
parse block 292679237,cost:7 ms
parse block 292679236,cost:59 ms
parse block 292679235,cost:41 ms
parse block 292679234,cost:60 ms
parse block 292679233,cost:18 ms
quoteSymbol not support DUp2qMMGuACziKeyZRtH9cuKyqtYpqJ24iZg6tVLpump, skipping transaction 36mnyiitNNRSQd2GsrH7s2KzQX6gorjzTRgDP4QKT1hhKyxjvJb2Ew4thdJp4vvvTdiVVNy8xqYf5xUB2bpDr8FM
quoteSymbol not support 5K4tUvaPkXeTft9HaDfynXU6nhvR3hwwRMtTxERhpump, skipping transaction 2xK5bsri1VQiE9BNV1jzyex3oDhzZrGPWJ6DEsVcYsMW7GJjiCUtG2oCxB3MD5RTxrja9LMhCZzwYKaFBPHtEKfs
quoteSymbol not support HhJpBhRRn4g56VsyLuT8DL5Bv31HkXqsrahTTUCZeZg4, skipping transaction 3Q9Q1oM2Lh9h4vw2WzVdp9W83AqSkPvuQm3CDBe2QSVQjodkWg5KzRkkT1g5pgSnZmPaxwSpHvcL8BFfcYjEAsw6
Invalid tokenAmount: 0, skipping transaction sCqauTSqmfqgRmsZLq2HmxEVDoTr1qTDqQzyNbGKSM5qtPAeBeGwaZUwcw1Q3bE1V8Ey9Pfn6Q45eStL7wQFn6o
quoteSymbol not support 5RyGF7NMbhLW6chpwMSVgNxu1GMc3g12XpwJWkAVpump, skipping transaction tWu75ZB491XrNicihP1CpR4VbnyfuD3hwkzH4HfBWaXdtU7MSomvLijqAxtNQmZSLnnYt4VKiQ5VBLBAWsdymJ3
quoteSymbol not support 2bvqMRk3HRRVUiu8uyG4Um7zQ9HVtnkTSeAYwv7xCphy, skipping transaction RF1MQxhCscwXe6F73ktRbCvcr1PDrikYFM4wgwt6t5XeTiERL7T4mA8YVt5zDbemVgkvvdLi6z2XV4ggGvfHFHh
quoteSymbol not support ByjDjEtEPRvBRXx6UxFUD4hLY8GN63fuZQCQz8E2pump, skipping transaction 2ihRuAAksAWMTbLWk6MMKGph4FZwPLWfsrWwZ95WeDTJBbbZJj6bYnCLWrmLF2ARMpnzoULHUjPu7e6CY8dn1cj9
Invalid tokenAmount: 0, skipping transaction 2VLjupLkAxkMyBqL7xVqp1tc3GSEAW2DM2LTKcULjiaiWy2AxWDH8UfNQ6k6xYQQJMfrtATPEtimpvfUdXoyHHVr
Invalid tokenAmount: 0, skipping transaction de8KhvHndywvEJx5vLQh85tUf3tC5APs6FF6B9Eh7N2ZV97PW9YAzaQE4bDeFoo2h35wh82NqcV3HhrGWFwfyiC
✅ 插入 5485 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 72 blocks, cost: 3301 ms
[Port 8028] server total use, cost: 3301 ms
100
parse block 292674332,cost:35 ms
parse block 292674331,cost:25 ms
parse block 292674330,cost:33 ms
parse block 292674329,cost:45 ms
parse block 292674328,cost:52 ms
parse block 292674327,cost:34 ms
parse block 292674326,cost:42 ms
parse block 292674325,cost:49 ms
parse block 292674324,cost:32 ms
parse block 292674323,cost:42 ms
parse block 292674322,cost:38 ms
parse block 292674321,cost:23 ms
parse block 292674320,cost:19 ms
parse block 292674319,cost:39 ms
parse block 292674318,cost:19 ms
parse block 292674317,cost:44 ms
parse block 292674316,cost:18 ms
parse block 292674315,cost:32 ms
parse block 292674314,cost:56 ms
parse block 292674313,cost:24 ms
parse block 292674312,cost:25 ms
parse block 292674311,cost:32 ms
parse block 292674310,cost:38 ms
parse block 292674309,cost:37 ms
parse block 292674308,cost:15 ms
parse block 292674307,cost:47 ms
parse block 292674306,cost:48 ms
parse block 292674305,cost:26 ms
parse block 292674304,cost:37 ms
parse block 292674303,cost:22 ms
parse block 292674302,cost:57 ms
parse block 292674301,cost:36 ms
parse block 292674300,cost:24 ms
parse block 292674299,cost:16 ms
parse block 292674298,cost:23 ms
parse block 292674297,cost:17 ms
parse block 292674296,cost:48 ms
parse block 292674295,cost:12 ms
parse block 292674294,cost:21 ms
parse block 292674293,cost:30 ms
parse block 292674292,cost:60 ms
parse block 292674291,cost:25 ms
parse block 292674290,cost:32 ms
parse block 292674289,cost:16 ms
parse block 292674288,cost:35 ms
parse block 292674287,cost:30 ms
parse block 292674286,cost:63 ms
parse block 292674285,cost:44 ms
parse block 292674284,cost:96 ms
parse block 292674283,cost:5 ms
parse block 292674282,cost:32 ms
parse block 292674281,cost:22 ms
parse block 292674280,cost:47 ms
parse block 292674279,cost:39 ms
parse block 292674278,cost:19 ms
parse block 292674277,cost:18 ms
parse block 292674276,cost:87 ms
parse block 292674275,cost:33 ms
parse block 292674274,cost:39 ms
parse block 292674273,cost:61 ms
parse block 292674272,cost:78 ms
parse block 292674271,cost:32 ms
parse block 292674270,cost:21 ms
parse block 292674269,cost:28 ms
parse block 292674268,cost:20 ms
parse block 292674267,cost:48 ms
parse block 292674266,cost:29 ms
parse block 292674265,cost:25 ms
parse block 292674264,cost:15 ms
parse block 292674263,cost:49 ms
parse block 292674262,cost:16 ms
parse block 292674261,cost:34 ms
parse block 292674260,cost:85 ms
parse block 292674259,cost:51 ms
parse block 292674258,cost:36 ms
parse block 292674257,cost:22 ms
parse block 292674256,cost:41 ms
parse block 292674255,cost:31 ms
parse block 292674254,cost:28 ms
parse block 292674253,cost:20 ms
parse block 292674252,cost:25 ms
parse block 292674251,cost:26 ms
parse block 292674250,cost:29 ms
parse block 292674249,cost:20 ms
parse block 292674248,cost:73 ms
parse block 292674247,cost:31 ms
parse block 292674246,cost:26 ms
parse block 292674245,cost:19 ms
parse block 292674244,cost:36 ms
parse block 292674243,cost:43 ms
parse block 292674242,cost:40 ms
parse block 292674241,cost:39 ms
parse block 292674240,cost:27 ms
parse block 292674239,cost:59 ms
parse block 292674238,cost:56 ms
parse block 292674237,cost:24 ms
parse block 292674236,cost:42 ms
parse block 292674235,cost:49 ms
parse block 292674234,cost:54 ms
parse block 292674233,cost:20 ms
quoteSymbol not support 2qCCgkRhUbPJeQGt5EuWwb7hMVDiGcQ3XP5b4RxGsUfP, skipping transaction 3Tzc6pvf9XKL1nGQv5aSnaU8SrgYXMHwcyZTPhrEb157wLo2HWKz7FsujB6Y7dE1ysBnFq9c4JJRNBrrkLn2AGYH
quoteSymbol not support GqVc7vEP1HnSKdP4QWPzCnXP2NzxDZU9M5UUXwAfpump, skipping transaction 36Dzy98sr2wYZtyscBejff5U2UvQh7X4yJuhtcUNEMZ22wjDr95tmsHpaoYfFjb1gz5DxrfhBShPP3UTcGYJciZ
quoteSymbol not support EMfk4dC6LGE6pqtZBwX8xKsZundUMcb5K7J2v1eDpump, skipping transaction 62QUV19SFKU4WZpjc721ymMgTFgMtojPBErTh79BSncGnbMLhFNH1XSzG2pR3nP4insgMiknntM3Pgr4GiNukPzu
Invalid quoteAmount: 0, skipping transaction 5krnSsKZCBVhtoza146y39rSYpxJhC3CATkrgT3yasuwkh269CZXB3Syd7NWSRXV6vMUpMhUwokHnQ2TiuFqGgqE
quoteSymbol not support FY32Yt9Zd56UEQ7WNRRjk8VQsCfrHm2KsBNZPA3nfNsy, skipping transaction Mh1PLCZtuuHF359Et5kFGGmy8LzP8fKLQDhqsvrCiTz6A7RqvoDeaCnjeGMDwynMJyA2CCceDmAaWRksR29ihyx
quoteSymbol not support GqVc7vEP1HnSKdP4QWPzCnXP2NzxDZU9M5UUXwAfpump, skipping transaction 5AFXsb25gSe8bP4LgPSeWm5hxyic8ahwBeDXaAb7kxrHUD6sGUnegXQSwt1pVGBkSEa2rE7ASspTPrpEUw71bDht
Invalid quoteAmount: 0, skipping transaction 5e8k5hUbf8qxhJqeM8VxZiXxW85rn8GAVnJPJuSD4NQsXC8XzmgSngK4xnXQtCUYbKsDKDBBNau2sSRKPgor1pXN
quoteSymbol not support 28tVhteKZkzzWjrdHGXzxfm4SQkhrDrjLur9TYCDVULE, skipping transaction 5o2LPQhYHZXq7z7WebEGLCxC5JsTCJNPE6VejPCeTeQyZodYrHjhAoABWduRh8BYzdiZaeyV4Dy5rQDiitayesuQ
Invalid tokenAmount: 0, skipping transaction 4bU1xhssWVvRZYggt1AVTiZsZfeiB4QbJPt2xM1zrrQCUgdsu55cWkBxe8oVybbX1EKmvow4FeCwtP5mP44uhRCH
Invalid tokenAmount: 0, skipping transaction 2uHbMBFjZ8L9GzEvtM7hE9M5ccmjAf7EHY7DVhpEMmzqyzakELbzRkxEtH3pzZfMaJvXt5WR2QsHznbCtCU9iLdm
Invalid quoteAmount: 0, skipping transaction BZuCDDWE1xL7c9NiARtXmL1632dkttXzZvDC3zEtMpKX2pEdxeDgvK7CxvpsLJS8S1sGVLhFgVMYuEPxPn42QBD
✅ 插入 5895 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 100 blocks, cost: 3917 ms
[Port 8028] server total use, cost: 3917 ms
100
parse block 292673032,cost:44 ms
parse block 292673031,cost:102 ms
parse block 292673030,cost:29 ms
parse block 292673029,cost:22 ms
parse block 292673028,cost:61 ms
parse block 292673027,cost:32 ms
parse block 292673026,cost:33 ms
parse block 292673025,cost:24 ms
parse block 292673024,cost:20 ms
parse block 292673023,cost:39 ms
parse block 292673022,cost:31 ms
parse block 292673021,cost:24 ms
parse block 292673020,cost:68 ms
parse block 292673019,cost:17 ms
parse block 292673018,cost:56 ms
parse block 292673017,cost:24 ms
parse block 292673016,cost:56 ms
parse block 292673015,cost:28 ms
parse block 292673014,cost:41 ms
parse block 292673013,cost:32 ms
parse block 292673012,cost:17 ms
parse block 292673011,cost:33 ms
parse block 292673010,cost:28 ms
parse block 292673009,cost:32 ms
parse block 292673008,cost:45 ms
parse block 292673007,cost:30 ms
parse block 292673006,cost:32 ms
parse block 292673005,cost:50 ms
parse block 292673004,cost:27 ms
parse block 292673003,cost:31 ms
parse block 292673002,cost:37 ms
parse block 292673001,cost:16 ms
parse block 292673000,cost:29 ms
parse block 292672999,cost:35 ms
parse block 292672998,cost:36 ms
parse block 292672997,cost:16 ms
parse block 292672996,cost:51 ms
parse block 292672995,cost:43 ms
parse block 292672994,cost:45 ms
parse block 292672993,cost:53 ms
parse block 292672992,cost:38 ms
parse block 292672991,cost:23 ms
parse block 292672990,cost:14 ms
parse block 292672989,cost:25 ms
parse block 292672988,cost:32 ms
parse block 292672987,cost:32 ms
parse block 292672986,cost:19 ms
parse block 292672985,cost:42 ms
parse block 292672984,cost:53 ms
parse block 292672983,cost:26 ms
parse block 292672982,cost:28 ms
parse block 292672981,cost:25 ms
parse block 292672980,cost:36 ms
parse block 292672979,cost:45 ms
parse block 292672978,cost:39 ms
parse block 292672977,cost:29 ms
parse block 292672976,cost:21 ms
parse block 292672975,cost:38 ms
parse block 292672974,cost:45 ms
parse block 292672973,cost:18 ms
parse block 292672972,cost:20 ms
parse block 292672971,cost:17 ms
parse block 292672970,cost:44 ms
parse block 292672969,cost:46 ms
parse block 292672968,cost:30 ms
parse block 292672967,cost:26 ms
parse block 292672966,cost:37 ms
parse block 292672965,cost:35 ms
parse block 292672964,cost:53 ms
parse block 292672963,cost:45 ms
parse block 292672962,cost:43 ms
parse block 292672961,cost:26 ms
parse block 292672960,cost:64 ms
parse block 292672959,cost:9 ms
parse block 292672958,cost:10 ms
parse block 292672957,cost:18 ms
parse block 292672956,cost:41 ms
parse block 292672955,cost:38 ms
parse block 292672954,cost:23 ms
parse block 292672953,cost:31 ms
parse block 292672952,cost:45 ms
parse block 292672951,cost:27 ms
parse block 292672950,cost:35 ms
parse block 292672949,cost:26 ms
parse block 292672948,cost:37 ms
parse block 292672947,cost:45 ms
parse block 292672946,cost:24 ms
parse block 292672945,cost:46 ms
parse block 292672944,cost:66 ms
parse block 292672943,cost:35 ms
parse block 292672942,cost:18 ms
parse block 292672941,cost:35 ms
parse block 292672940,cost:12 ms
parse block 292672939,cost:34 ms
parse block 292672938,cost:16 ms
parse block 292672937,cost:18 ms
parse block 292672936,cost:22 ms
parse block 292672935,cost:10 ms
parse block 292672934,cost:29 ms
parse block 292672933,cost:31 ms
quoteSymbol not support 6asRuqr7yJtqDaqRcPBL5A3J8Q5LyuQt6tqy1N5cpump, skipping transaction 2UcxokmrgnB3xd5371vsp8ip3UYfCfWNg2NCU5UvpacA4qczdBEw7gxTbThxBaDWGYFF3A4pvtvUNpkYbBVgNhpE
Invalid quoteAmount: 0, skipping transaction 2YLyzuoNADfv3feKJ1KSMvAqEkeyu5N2uE7YQCupCuVZnH82tmNRXVFrkd1KAW2eYBVg4NBfEXpPQgTs8pBptvEy
quoteSymbol not support 3Sx6ZuHGbzi24mhR8QfRNyXQXgJFH5H295rzELwRpump, skipping transaction 4dZbGejF7GpGZq3Z5sBEjA3woFHF6tDZsd8NNFEQFPp8Uj1997bUF51bsc6Kppgxc4yYf85eKf5WhKmmcVviCyhs
Invalid tokenAmount: 0, skipping transaction rz1SVkGnbV7kSUEWgbEWeGATpcSys89mNuMQkh7fpLc6J6cJP6hQBu2xN3B4bH5i88uDqMZk8UF37onXnnKZRhT
quoteSymbol not support 62HzkThokU4UenEs3XsFvJ8Gmc2W69LCgQKn7w4Xpump, skipping transaction zSPqeZ3Q5WEZ8BaY5CEa3XYDCU19GhW6ae3Eoe1N398ztzX2Z8VqaywfmvNbKZzhg3Szq4auYpGkoocrJcYaV73
quoteSymbol not support poLisWXnNRwC6oBu1vHiuKQzFjGL4XDSu4g9qjz9qVk, skipping transaction 4XmH2o3B4f5ahoft2wb9Z3bMkRfy14VPZhMtjovQ7PdySDAtNHJgCfu1H2H9tqe1HN3zNRtJpm925FPdG5GEtY1A
Invalid quoteAmount: 0, skipping transaction 5mMUnvswJxhWpftixfnuEtwr9PVuCLyoi4sZZQCN9VFuUWXbi9K1LXnCmFxG1kaC6Zg92cwgpz1CJqczuMesUeQX
Invalid tokenAmount: 0, skipping transaction 3ZP1mkhvLSW6Dz91DtHdDA63uopa3qYT9oQCAPEs2exdo53tm58TMQieV2bSoLPxnRWfArvN98kPH3pt8WP97u4K
quoteSymbol not support DdL4pdSoDbKt3jw2UGzKFq5pWTEGqYUduKPiMvispump, skipping transaction 3SF2wJgt47KMW3jUNzDuPCFtYz1akF99MJpngyyaMiWmsAYW3nSbRt7vhndZ97XSd3pYGbkNJpRq6tqiEt8RNzxm
Invalid tokenAmount: 0, skipping transaction RfcVSVaPqoANBLQEgxsvyR2KeNqk63YAmPhC4wGXRFqmEFTLJ3682v6vb3GyYqEswY9LLnNFCVn3BinP4SxicXT
Invalid quoteAmount: 0, skipping transaction 5qpavBtjB9EE9xQ5dEGWWW2XihUz8EL2AfyioRSQJuumQ8q1DzngcBveDaXYcsSxbJBZiHWUnxZwHadZZoX4A7Qe
Invalid tokenAmount: 0, skipping transaction 3uhud7vsYGRNonZkV7m2S5qCm8PLv8ybLm362uUMnL8n8ztPaB4kWPPzHYABJAER7bsHEf7Jx3GMViFqgTuPZ6Bo
✅ 插入 5471 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 100 blocks, cost: 3713 ms
[Port 8028] server total use, cost: 3713 ms
95
parse block 292668232,cost:32 ms
parse block 292668231,cost:29 ms
parse block 292668230,cost:47 ms
parse block 292668229,cost:59 ms
parse block 292668228,cost:57 ms
parse block 292668227,cost:63 ms
parse block 292668226,cost:41 ms
parse block 292668225,cost:34 ms
parse block 292668224,cost:37 ms
parse block 292668223,cost:61 ms
parse block 292668222,cost:4 ms
parse block 292668221,cost:42 ms
parse block 292668220,cost:73 ms
parse block 292668219,cost:25 ms
parse block 292668218,cost:41 ms
parse block 292668217,cost:52 ms
parse block 292668216,cost:70 ms
parse block 292668215,cost:7 ms
parse block 292668214,cost:27 ms
parse block 292668213,cost:32 ms
parse block 292668212,cost:21 ms
parse block 292668211,cost:12 ms
parse block 292668210,cost:45 ms
parse block 292668209,cost:41 ms
parse block 292668208,cost:59 ms
parse block 292668207,cost:38 ms
parse block 292668206,cost:54 ms
parse block 292668205,cost:15 ms
parse block 292668204,cost:54 ms
parse block 292668203,cost:42 ms
parse block 292668202,cost:72 ms
parse block 292668201,cost:56 ms
parse block 292668200,cost:89 ms
parse block 292668195,cost:34 ms
parse block 292668194,cost:86 ms
parse block 292668193,cost:25 ms
parse block 292668192,cost:33 ms
parse block 292668191,cost:36 ms
parse block 292668190,cost:42 ms
parse block 292668189,cost:35 ms
parse block 292668188,cost:20 ms
parse block 292668187,cost:56 ms
parse block 292668186,cost:65 ms
parse block 292668185,cost:69 ms
parse block 292668184,cost:61 ms
parse block 292668183,cost:20 ms
parse block 292668182,cost:48 ms
parse block 292668181,cost:25 ms
parse block 292668180,cost:32 ms
parse block 292668179,cost:8 ms
parse block 292668178,cost:26 ms
parse block 292668177,cost:31 ms
parse block 292668176,cost:36 ms
parse block 292668175,cost:61 ms
parse block 292668174,cost:62 ms
parse block 292668173,cost:21 ms
parse block 292668172,cost:28 ms
parse block 292668171,cost:55 ms
parse block 292668170,cost:64 ms
parse block 292668169,cost:37 ms
parse block 292668168,cost:93 ms
parse block 292668167,cost:43 ms
parse block 292668166,cost:30 ms
parse block 292668165,cost:40 ms
parse block 292668164,cost:30 ms
parse block 292668163,cost:20 ms
parse block 292668162,cost:25 ms
parse block 292668161,cost:17 ms
parse block 292668160,cost:12 ms
parse block 292668159,cost:53 ms
parse block 292668158,cost:31 ms
parse block 292668157,cost:30 ms
parse block 292668156,cost:19 ms
parse block 292668155,cost:69 ms
parse block 292668154,cost:17 ms
parse block 292668153,cost:41 ms
parse block 292668152,cost:35 ms
parse block 292668151,cost:40 ms
parse block 292668150,cost:24 ms
parse block 292668149,cost:32 ms
parse block 292668148,cost:52 ms
parse block 292668147,cost:13 ms
parse block 292668146,cost:42 ms
parse block 292668145,cost:36 ms
parse block 292668144,cost:40 ms
parse block 292668143,cost:54 ms
parse block 292668142,cost:27 ms
parse block 292668141,cost:34 ms
parse block 292668140,cost:39 ms
parse block 292668139,cost:66 ms
parse block 292668138,cost:63 ms
parse block 292668137,cost:70 ms
parse block 292668135,cost:44 ms
parse block 292668134,cost:52 ms
parse block 292668133,cost:28 ms
quoteSymbol not support EGJNUmvYftgxPDD39ETZmMeS5Stch9j83tU83zBNpump, skipping transaction Nd59GXUHco822E6FZ76kSwPjcmw4KqC4ot2SpyDfZqnpWLqy5M6GaN29FVaasQeotmS9dJo3eG6CfC7uyh9ursj
Invalid quoteAmount: 0, skipping transaction 2u6aMVdxekjpde5C9NWz84q2CU8VisZsJwoe8WbCadAxPNXxwcRUAmBXgK7f92ctYHhJff7xEfsmL7GsdfJbaKvP
quoteSymbol not support H8LW3afnmHYhvhLydBPsFNfUF1JTPpNt6VoeYzutpump, skipping transaction 2b3JjdohJgrSGweiwwBVNaunzYAuRPFxV9YjrpzDP6Fn727Gvn26frWbZKEyWMCTiLsqnSBwzi75QMpVwq5fNTrY
quoteSymbol not support H8LW3afnmHYhvhLydBPsFNfUF1JTPpNt6VoeYzutpump, skipping transaction 21AzZsmN9pYJEJPfw3J2PuVwQwDHTZCtYMC5ZxgUgRRypsszTZaR5xqVa18543JZHy2yE99WcQhz2UhbKCLjN2wX
quoteSymbol not support HT44gSqA6sUS8kAyu8SXRVMvbfLG5eZCaqESCBKvPffe, skipping transaction 4WMfBQyZst37RgghCRgWdQMBgqumcqsDMuxdJDVQDLw7YYPTnUdvSFCrWcAsaYSfYQo76VADn3DyecAygxgEt32e
Invalid quoteAddress: undefined, skipping transaction 5dx4gfr54ZFZgsAKsRYgrjLwnsfGv2k6bKEG4euwX72Ww5bP1doJjS5RZwZXmD5Jhbne14a2byUZJJi12CVU82dt
quoteSymbol not support J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn, skipping transaction 2tAeCLgCXNKNTfMmhApnYYgo4MiT4tse3SjrXnH3ZUnW3BKf6Ac8mrgyLsAxyAesUbg3qNRVtwKveT4pBGpLFjtD
quoteSymbol not support J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn, skipping transaction 5FR49sUnty329Ua1D9kfEoQbNFgF4Av51p38JpGdJpzG1mc6Xbd7TVhDe8ktFosRh4MojUfjGyuZwU6867ffjsru
quoteSymbol not support 8Sk2EJ9oo25b7Mmf4qd5gJw6z3738AXvAbkuSSpQpump, skipping transaction rgRRd6vrirjxhkXV9gmq9MkejZt9g4YFsPYo1UVJoLcCout2buCocTdyQZkYCCjvMWYwMwBT4whuhPcoi4zqo2c
quoteSymbol not support DUp2qMMGuACziKeyZRtH9cuKyqtYpqJ24iZg6tVLpump, skipping transaction 3KFfzVtx6ER7GedtX9EdpqEfk39hG46dWnFwxxJBW9eccneQ1VTBWVtt85onXFeCNPF162vZoeJxFd4rgTHT1htx
quoteSymbol not support ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY, skipping transaction 4eu1u7yai4PYeuz8XyCeTLFfZFW6HBZvWJtGNeZXuWs5v82CHJzRpPNAA1xpzjWYBvGdY1HZwB6s1QAZd6K3Cx55
quoteSymbol not support 3S9eD7qoejgrbNkn12NzW2MUvdofTJJ3noecx1DZpump, skipping transaction DVoUMyxHBeLPB8Urs2DpMVBodvJz4dM3W3ZS8BQ4L8UJRVdZUNNdLYVnH7nr96RpqhgzLFaPCnuHztwVy5a651e
Invalid tokenAmount: 0, skipping transaction 3MFXJ9zpJTB6beqzPj7DRVSLg8yNzCFr3nZTf8NKzjhgBgV5B2gYpktpGbneJfnRjk9PJdFMmJ3rP5BeQxdZNQfc
✅ 插入 7637 条记录到 solana_history_data_new
HIGH PERFORMANCE: parse 95 blocks, cost: 4321 ms
[Port 8028] server total use, cost: 4321 ms
100
parse block 292666232,cost:32 ms
parse block 292666231,cost:43 ms
parse block 292666230,cost:39 ms
